"id","time","identifier","ancillaryData","state","requester","proposer","disputer","settlementRecipient","currency","bond","reward","finalFee","proposedPrice","settlementPrice"
"YES_OR_NO_QUERY-1754008461-0x713a7469746c653a6574685f313735343030383435372c6465736372697074696f6e3a6574685f313735343030383435372c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","1754008461","YES_OR_NO_QUERY","0x713a7469746c653a6574685f313735343030383435372c6465736372697074696f6e3a6574685f313735343030383435372c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","Settled","0x884c9cd1657a317967efc86336e0068473467ad8","0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757",,"0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757","0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","500000","0","250000000","0","0"
"YES_OR_NO_QUERY-1754008479-0x713a7469746c653a6274635f313735343030383437352c6465736372697074696f6e3a6274635f313735343030383437352c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","1754008479","YES_OR_NO_QUERY","0x713a7469746c653a6274635f313735343030383437352c6465736372697074696f6e3a6274635f313735343030383437352c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","Settled","0x884c9cd1657a317967efc86336e0068473467ad8","0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757",,"0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757","0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","500000","0","250000000","0","0"
"YES_OR_NO_QUERY-1754010935-0x713a7469746c653a4973616b5f313735343031303931383234302d3432392c6465736372697074696f6e3a4973616b5f313735343031303931383234302d3432392c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","1754010935","YES_OR_NO_QUERY","0x713a7469746c653a4973616b5f313735343031303931383234302d3432392c6465736372697074696f6e3a4973616b5f313735343031303931383234302d3432392c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","Settled","0x884c9cd1657a317967efc86336e0068473467ad8","0x43a4b5a422e82be8272a3fd7f4b4cefa8112b738",,"0x43a4b5a422e82be8272a3fd7f4b4cefa8112b738","0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","500000","0","250000000","1000000000000000000","1000000000000000000"
"YES_OR_NO_QUERY-1754045229-0x713a7469746c653a4c65655f4a756e5f53656f6b5f313735343034353230343636352d3433302c6465736372697074696f6e3a4c65655f4a756e5f53656f6b5f313735343034353230343636352d3433302c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","1754045229","YES_OR_NO_QUERY","0x713a7469746c653a4c65655f4a756e5f53656f6b5f313735343034353230343636352d3433302c6465736372697074696f6e3a4c65655f4a756e5f53656f6b5f313735343034353230343636352d3433302c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","Settled","0x884c9cd1657a317967efc86336e0068473467ad8","0x43a4b5a422e82be8272a3fd7f4b4cefa8112b738",,"0x43a4b5a422e82be8272a3fd7f4b4cefa8112b738","0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","500000","0","250000000","0","0"
"YES_OR_NO_QUERY-1754093729-0x713a7469746c653a6274635f313735343039333732362c6465736372697074696f6e3a6274635f313735343039333732362c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","1754093729","YES_OR_NO_QUERY","0x713a7469746c653a6274635f313735343039333732362c6465736372697074696f6e3a6274635f313735343039333732362c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","Settled","0x884c9cd1657a317967efc86336e0068473467ad8","0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757",,"0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757","0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","500000","0","250000000","0","0"
"YES_OR_NO_QUERY-1754093751-0x713a7469746c653a6574685f313735343039333734372c6465736372697074696f6e3a6574685f313735343039333734372c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","1754093751","YES_OR_NO_QUERY","0x713a7469746c653a6574685f313735343039333734372c6465736372697074696f6e3a6574685f313735343039333734372c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","Settled","0x884c9cd1657a317967efc86336e0068473467ad8","0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757",,"0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757","0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","500000","0","250000000","0","0"
"MULTIPLE_CHOICE_QUERY-1754149483-0x7b227469746c65223a2243417471333270465938576a323466684275774b744a346d756a6b6e39725236533532544e61726d4c505a6d222c226465736372697074696f6e223a2254686973206d61726b657420776173206372656174656420627920576f726d2e20466f7220612064657461696c6564206465736372697074696f6e2c2072756c65732c20616e64206f7468657220696e666f726d6174696f6e2c20706c6561736520726566657220746f20746865206f6666696369616c20776562736974653a2068747470733a2f2f7777772e776f726d2e7774662f6d61726b65742f43417471333270465938576a323466684275774b744a346d756a6b6e39725236533532544e61726d4c505a6d227d","1754149483","MULTIPLE_CHOICE_QUERY","0x7b227469746c65223a2243417471333270465938576a323466684275774b744a346d756a6b6e39725236533532544e61726d4c505a6d222c226465736372697074696f6e223a2254686973206d61726b657420776173206372656174656420627920576f726d2e20466f7220612064657461696c6564206465736372697074696f6e2c2072756c65732c20616e64206f7468657220696e666f726d6174696f6e2c20706c6561736520726566657220746f20746865206f6666696369616c20776562736974653a2068747470733a2f2f7777772e776f726d2e7774662f6d61726b65742f43417471333270465938576a323466684275774b744a346d756a6b6e39725236533532544e61726d4c505a6d227d","Requested","0x26b0c9f46b9a4d22b99250908232a9bf848f13a5",,,,"0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","0","0","250000000",,
"YES_OR_NO_QUERY-1754184013-0x713a7469746c653a6574685f313735343138343030392c6465736372697074696f6e3a6574685f313735343138343030392c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","1754184013","YES_OR_NO_QUERY","0x713a7469746c653a6574685f313735343138343030392c6465736372697074696f6e3a6574685f313735343138343030392c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","Settled","0x884c9cd1657a317967efc86336e0068473467ad8","0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757",,"0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757","0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","500000","0","250000000","1000000000000000000","1000000000000000000"
"YES_OR_NO_QUERY-1754184031-0x713a7469746c653a6274635f313735343138343032382c6465736372697074696f6e3a6274635f313735343138343032382c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","1754184031","YES_OR_NO_QUERY","0x713a7469746c653a6274635f313735343138343032382c6465736372697074696f6e3a6274635f313735343138343032382c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","Settled","0x884c9cd1657a317967efc86336e0068473467ad8","0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757",,"0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757","0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","500000","0","250000000","1000000000000000000","1000000000000000000"
"YES_OR_NO_QUERY-1754264293-0x713a7469746c653a6274635f313735343236343238392c6465736372697074696f6e3a6274635f313735343236343238392c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","1754264293","YES_OR_NO_QUERY","0x713a7469746c653a6274635f313735343236343238392c6465736372697074696f6e3a6274635f313735343236343238392c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537","Settled","0x884c9cd1657a317967efc86336e0068473467ad8","0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757",,"0x838ba6c40a5c3f0a0e24d60722a4762dcdb84757","0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","500000","0","250000000","1000000000000000000","1000000000000000000"
