ancillaryData,id,identifier,time,identifier_text,ancillaryData_text
0x713a7469746c653a6274635f313735363934323237322c6465736372697074696f6e3a6274635f313735363934323237322c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537,YES_OR_NO_QUERY-1756942275-0x713a7469746c653a6274635f313735363934323237322c6465736372697074696f6e3a6274635f313735363934323237322c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537,YES_OR_NO_QUERY,1756942275,YES_OR_NO_QUERY,"q:title:btc_1756942272,description:btc_1756942272,p1:0,p2:1,initializer:cc99097dd37a4962961f022178d111ae5162d3e7"
0x713a7469746c653a6574685f313735363934323239392c6465736372697074696f6e3a6574685f313735363934323239392c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537,YES_OR_NO_QUERY-1756942303-0x713a7469746c653a6574685f313735363934323239392c6465736372697074696f6e3a6574685f313735363934323239392c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537,YES_OR_NO_QUERY,1756942303,YES_OR_NO_QUERY,"q:title:eth_1756942299,description:eth_1756942299,p1:0,p2:1,initializer:cc99097dd37a4962961f022178d111ae5162d3e7"
0x713a7469746c653a537061726b735f313735373035383539323637382d3439312c6465736372697074696f6e3a537061726b735f313735373035383539323637382d3439312c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537,YES_OR_NO_QUERY-1757059161-0x713a7469746c653a537061726b735f313735373035383539323637382d3439312c6465736372697074696f6e3a537061726b735f313735373035383539323637382d3439312c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537,YES_OR_NO_QUERY,1757059161,YES_OR_NO_QUERY,"q:title:Sparks_1757058592678-491,description:Sparks_1757058592678-491,p1:0,p2:1,initializer:cc99097dd37a4962961f022178d111ae5162d3e7"
0x713a7469746c653a447265616d5f313735373035383633323030312d3439322c6465736372697074696f6e3a447265616d5f313735373035383633323030312d3439322c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537,YES_OR_NO_QUERY-1757059323-0x713a7469746c653a447265616d5f313735373035383633323030312d3439322c6465736372697074696f6e3a447265616d5f313735373035383633323030312d3439322c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537,YES_OR_NO_QUERY,1757059323,YES_OR_NO_QUERY,"q:title:Dream_1757058632001-492,description:Dream_1757058632001-492,p1:0,p2:1,initializer:cc99097dd37a4962961f022178d111ae5162d3e7"
0x7b227469746c65223a223643526d465055453942596561676d4b324161655746354e35564338425070344e5752784c37364e4a775137222c226465736372697074696f6e223a2254686973206d61726b657420776173206372656174656420627920576f726d2e20466f7220612064657461696c6564206465736372697074696f6e2c2072756c65732c20616e64206f7468657220696e666f726d6174696f6e2c20706c6561736520726566657220746f20746865206f6666696369616c20776562736974653a2068747470733a2f2f7777772e776f726d2e7774662f6d61726b65742f3643526d465055453942596561676d4b324161655746354e35564338425070344e5752784c37364e4a775137227d,MULTIPLE_CHOICE_QUERY-1757252465-0x7b227469746c65223a223643526d465055453942596561676d4b324161655746354e35564338425070344e5752784c37364e4a775137222c226465736372697074696f6e223a2254686973206d61726b657420776173206372656174656420627920576f726d2e20466f7220612064657461696c6564206465736372697074696f6e2c2072756c65732c20616e64206f7468657220696e666f726d6174696f6e2c20706c6561736520726566657220746f20746865206f6666696369616c20776562736974653a2068747470733a2f2f7777772e776f726d2e7774662f6d61726b65742f3643526d465055453942596561676d4b324161655746354e35564338425070344e5752784c37364e4a775137227d,MULTIPLE_CHOICE_QUERY,1757252465,MULTIPLE_CHOICE_QUERY,"{""title"":""6CRmFPUE9BYeagmK2AaeWF5N5VC8BPp4NWRxL76NJwQ7"",""description"":""This market was created by Worm. For a detailed description, rules, and other information, please refer to the official website: https://www.worm.wtf/market/6CRmFPUE9BYeagmK2AaeWF5N5VC8BPp4NWRxL76NJwQ7""}"
0x7b227469746c65223a2244425951574d614c44745974485662335244394d525351714a457259585038576b77615a5346336665753875222c226465736372697074696f6e223a2254686973206d61726b657420776173206372656174656420627920576f726d2e20466f7220612064657461696c6564206465736372697074696f6e2c2072756c65732c20616e64206f7468657220696e666f726d6174696f6e2c20706c6561736520726566657220746f20746865206f6666696369616c20776562736974653a2068747470733a2f2f7777772e776f726d2e7774662f6d61726b65742f44425951574d614c44745974485662335244394d525351714a457259585038576b77615a5346336665753875227d,MULTIPLE_CHOICE_QUERY-1758457089-0x7b227469746c65223a2244425951574d614c44745974485662335244394d525351714a457259585038576b77615a5346336665753875222c226465736372697074696f6e223a2254686973206d61726b657420776173206372656174656420627920576f726d2e20466f7220612064657461696c6564206465736372697074696f6e2c2072756c65732c20616e64206f7468657220696e666f726d6174696f6e2c20706c6561736520726566657220746f20746865206f6666696369616c20776562736974653a2068747470733a2f2f7777772e776f726d2e7774662f6d61726b65742f44425951574d614c44745974485662335244394d525351714a457259585038576b77615a5346336665753875227d,MULTIPLE_CHOICE_QUERY,1758457089,MULTIPLE_CHOICE_QUERY,"{""title"":""DBYQWMaLDtYtHVb3RD9MRSQqJErYXP8WkwaZSF3feu8u"",""description"":""This market was created by Worm. For a detailed description, rules, and other information, please refer to the official website: https://www.worm.wtf/market/DBYQWMaLDtYtHVb3RD9MRSQqJErYXP8WkwaZSF3feu8u""}"
0x7b227469746c65223a2245434555706957316165784c513348436e62734b656d6d6d313165526d364d44457a457a73394b79624d3969222c226465736372697074696f6e223a2254686973206d61726b657420776173206372656174656420627920576f726d2e20466f7220612064657461696c6564206465736372697074696f6e2c2072756c65732c20616e64206f7468657220696e666f726d6174696f6e2c20706c6561736520726566657220746f20746865206f6666696369616c20776562736974653a2068747470733a2f2f7777772e776f726d2e7774662f6d61726b65742f45434555706957316165784c513348436e62734b656d6d6d313165526d364d44457a457a73394b79624d3969227d,MULTIPLE_CHOICE_QUERY-1758461287-0x7b227469746c65223a2245434555706957316165784c513348436e62734b656d6d6d313165526d364d44457a457a73394b79624d3969222c226465736372697074696f6e223a2254686973206d61726b657420776173206372656174656420627920576f726d2e20466f7220612064657461696c6564206465736372697074696f6e2c2072756c65732c20616e64206f7468657220696e666f726d6174696f6e2c20706c6561736520726566657220746f20746865206f6666696369616c20776562736974653a2068747470733a2f2f7777772e776f726d2e7774662f6d61726b65742f45434555706957316165784c513348436e62734b656d6d6d313165526d364d44457a457a73394b79624d3969227d,MULTIPLE_CHOICE_QUERY,1758461287,MULTIPLE_CHOICE_QUERY,"{""title"":""ECEUpiW1aexLQ3HCnbsKemmm11eRm6MDEzEzs9KybM9i"",""description"":""This market was created by Worm. For a detailed description, rules, and other information, please refer to the official website: https://www.worm.wtf/market/ECEUpiW1aexLQ3HCnbsKemmm11eRm6MDEzEzs9KybM9i""}"
0x7b227469746c65223a2236587350507764655278516d637255736566524e506632484e6f66665875654d454576645463376f33435178222c226465736372697074696f6e223a2254686973206d61726b657420776173206372656174656420627920576f726d2e20466f7220612064657461696c6564206465736372697074696f6e2c2072756c65732c20616e64206f7468657220696e666f726d6174696f6e2c20706c6561736520726566657220746f20746865206f6666696369616c20776562736974653a2068747470733a2f2f7777772e776f726d2e7774662f6d61726b65742f36587350507764655278516d637255736566524e506632484e6f66665875654d454576645463376f33435178227d,MULTIPLE_CHOICE_QUERY-1758564647-0x7b227469746c65223a2236587350507764655278516d637255736566524e506632484e6f66665875654d454576645463376f33435178222c226465736372697074696f6e223a2254686973206d61726b657420776173206372656174656420627920576f726d2e20466f7220612064657461696c6564206465736372697074696f6e2c2072756c65732c20616e64206f7468657220696e666f726d6174696f6e2c20706c6561736520726566657220746f20746865206f6666696369616c20776562736974653a2068747470733a2f2f7777772e776f726d2e7774662f6d61726b65742f36587350507764655278516d637255736566524e506632484e6f66665875654d454576645463376f33435178227d,MULTIPLE_CHOICE_QUERY,1758564647,MULTIPLE_CHOICE_QUERY,"{""title"":""6XsPPwdeRxQmcrUsefRNPf2HNoffXueMEEvdTc7o3CQx"",""description"":""This market was created by Worm. For a detailed description, rules, and other information, please refer to the official website: https://www.worm.wtf/market/6XsPPwdeRxQmcrUsefRNPf2HNoffXueMEEvdTc7o3CQx""}"
0x713a7469746c653a6574685f313735393131303635382c6465736372697074696f6e3a6574685f313735393131303635382c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537,YES_OR_NO_QUERY-1759110661-0x713a7469746c653a6574685f313735393131303635382c6465736372697074696f6e3a6574685f313735393131303635382c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537,YES_OR_NO_QUERY,1759110661,YES_OR_NO_QUERY,"q:title:eth_1759110658,description:eth_1759110658,p1:0,p2:1,initializer:cc99097dd37a4962961f022178d111ae5162d3e7"
0x713a7469746c653a6274635f313735393131303732322c6465736372697074696f6e3a6274635f313735393131303732322c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537,YES_OR_NO_QUERY-1759110727-0x713a7469746c653a6274635f313735393131303732322c6465736372697074696f6e3a6274635f313735393131303732322c70313a302c70323a312c696e697469616c697a65723a63633939303937646433376134393632393631663032323137386431313161653531363264336537,YES_OR_NO_QUERY,1759110727,YES_OR_NO_QUERY,"q:title:btc_1759110722,description:btc_1759110722,p1:0,p2:1,initializer:cc99097dd37a4962961f022178d111ae5162d3e7"
